Nombre,Teléfono,Dirección,Lat,Lng,Rating,Reseñas,Horarios
JYSK Asti,+39 0141 273798,"ex, Via G. Borello, Corso Alessandria, 5/330, 14100 Asti AT, Italia",44.9066069,8.2301595,4.1,137,"giovedì: 09:30 to 13, 14 to 19:30 | venerdì: 09:30 to 13, 14 to 19:30 | sabato: 09:30 to 13, 14 to 19:30 | domenica: 09:30 to 13, 14 to 19:30 | lunedì: 09:30 to 13, 14 to 19:30 | martedì: 09:30 to 13, 14 to 19:30 | mercoledì: 09:30 to 13, 14 to 19:30"
OBI Asti,+39 0141 417200,"Str. Ragazzi del '99, 8, 14100 Asti AT, Italia",44.9058076,8.1818265,4.1,2972,giovedì: 08:30 to 20 | venerdì: 08:30 to 20 | sabato: 08:30 to 20 | domenica: 09 to 20 | lunedì: 08:30 to 20 | martedì: 08:30 to 20 | mercoledì: 08:30 to 20
Alfieri Foto,+39 0141 320186,"Via C. Benso di Cavour, 88, 14100 Asti AT, Italia",44.8975095,8.2054387,4.4,157,"giovedì: 09 to 12:30, 15 to 19:30 | venerdì: 09 to 12:30, 15 to 19:30 | sabato: 09 to 12:30, 15 to 19:30 | domenica: Chiuso | lunedì: 09 to 12:30, 15 to 19:30 | martedì: 09 to 12:30, 15 to 19:30 | mercoledì: 09 to 12:30, 15 to 19:30"
Bisio Orologi e Gioielli,+39 0141 592654,"Corso Vittorio Alfieri, 270, 14100 Asti AT, Italia",44.8999496,8.2045358,4.4,53,"giovedì: 09:30 to 12:30, 15:30 to 19:30 | venerdì: 09:30 to 12:30, 15:30 to 19:30 | sabato: 09:30 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 09:30 to 12:30, 15:30 to 19:30 | mercoledì: 09:30 to 12:30, 15:30 to 19:30"
Cafè Secondo Statuto,+39 376 140 2284,"Piazza S. Secondo, 14, 14100 Asti AT, Italia",44.8989475,8.2042933,3.8,84,giovedì: 07:30 to 22 | venerdì: 07:30 to 22 | sabato: 08 to 23 | domenica: 08 to 23 | lunedì: 07:30 to 22 | martedì: 07:30 to 22 | mercoledì: 07:30 to 22
Sons Of Ink - Tattoo & Piercing,+39 0141 235548,"Via XX Settembre, 57, 14100 Asti AT, Italia",44.8973521,8.2035081,5,149,giovedì: 10 to 19 | venerdì: 10 to 19 | sabato: 10 to 19 | domenica: Chiuso | lunedì: Chiuso | martedì: 10 to 19 | mercoledì: 10 to 19
Caffetteria Battisti,+39 0141 188 2085,"Via Cesare Battisti, 15, 14100 Asti AT, Italia",44.9008721,8.2055888,4.5,94,giovedì: 08 to 22 | venerdì: 08 to 22 | sabato: 08 to 22 | domenica: 08:30 to 22 | lunedì: Chiuso | martedì: 08 to 22 | mercoledì: 08 to 22
Cartolibreria Joy & Joy,+39 320 077 8983,"Via C. Benso di Cavour, 32/A, 14100 Asti AT, Italia",44.8987517,8.2044845,4.4,37,"giovedì: 09:30 to 13, 16 to 19:30 | venerdì: 09:30 to 13, 16 to 19:30 | sabato: 09:30 to 13, 16 to 19:30 | domenica: Chiuso | lunedì: 16 to 19:30 | martedì: 09:30 to 13, 16 to 19:30 | mercoledì: 09:30 to 13, 16 to 19:30"
SottoSopra | Scarpe e abbigliamento donna,+39 0141 452795,"Corso Vittorio Alfieri, 175, 14100 Asti AT, Italia",44.9012288,8.2076723,4.4,34,"giovedì: 09:30 to 12:30, 15:30 to 19:30 | venerdì: 09:30 to 19:30 | sabato: 09:30 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 09:30 to 12:30, 15:30 to 19:30 | mercoledì: 09:30 to 19:30"
Posteridea,+39 0141 556621,"Via Angelo Brofferio, 4, 14100 Asti AT, Italia",44.8982061,8.206844,4.8,6,
Alpina Factory Store - Asti,+39 0141 595588,"Corso Alla Vittoria, 65, 14100 Asti AT, Italia",44.9005996,8.2114023,4.3,4,"giovedì: 09 to 12:30, 15:30 to 19:30 | venerdì: 09 to 12:30, 15:30 to 19:30 | sabato: 09 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 09 to 12:30, 15:30 to 19:30 | mercoledì: 09 to 12:30, 15:30 to 19:30"
Bar Dante,+39 347 155 6363,"Corso Dante Alighieri, 112, 14100 Asti AT, Italia",44.9052486,8.2026244,4.3,58,giovedì: 07 to 20 | venerdì: 07 to 20 | sabato: 07 to 20 | domenica: Chiuso | lunedì: 07 to 20 | martedì: 07 to 20 | mercoledì: 07 to 20
Enoteca La Cantina,+39 0141 530217,"Via Bernardino Pallio, 13/15, 14100 Asti AT, Italia",44.9045193,8.2165826,4.8,398,giovedì: 08 to 19:45 | venerdì: 08 to 19:45 | sabato: 08 to 19:45 | domenica: Chiuso | lunedì: 08 to 19:45 | martedì: 08 to 19:45 | mercoledì: 08 to 19:45
Bar Ornella,+39 347 011 1869,"Via S. Quirico, 1, 14100 Asti AT, Italia",44.8966882,8.2072602,4.6,215,giovedì: 06:30 to 20:30 | venerdì: 06:30 to 20:30 | sabato: 06:30 to 20:30 | domenica: 07:30 to 13 | lunedì: 06:30 to 20:30 | martedì: 06:30 to 20:30 | mercoledì: 06:30 to 20:30
Giordanino,+39 0141 593802,"Corso Vittorio Alfieri, 254, 14100 Asti AT, Italia",44.9000734,8.2050558,4.5,193,"giovedì: 09 to 13, 16 to 19:30 | venerdì: 09 to 13, 16 to 19:30 | sabato: 09 to 13, 16 to 19:30 | domenica: 09 to 13, 16 to 19:30 | lunedì: Chiuso | martedì: 09 to 13, 16 to 19:30 | mercoledì: 09 to 13, 16 to 19:30"
NKD,,"Corso Venezia, 170, 14100 Asti AT, Italia",44.8923494,8.1983455,4.1,14,"giovedì: 09 to 13, 15:30 to 19:30 | venerdì: 09 to 13, 15:30 to 19:30 | sabato: 09 to 13, 15:30 to 19:30 | domenica: Chiuso | lunedì: 09 to 13, 15:30 to 19:30 | martedì: 09 to 13, 15:30 to 19:30 | mercoledì: 09 to 13, 15:30 to 19:30"
FIORELLA RUBINO,+39 0141 480046,"C.c. Il Borgo, Corso Casale, 319, 14100 Asti AT, Italia",44.9155914,8.2246809,4.3,43,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
At. Cafè,,"Corso XXV Aprile, 13, 14100 Asti AT, Italia",44.9048938,8.1975556,4.7,39,giovedì: 06:30 to 20 | venerdì: 06:30 to 20 | sabato: 06:30 to 12:30 | domenica: Chiuso | lunedì: 06:30 to 20 | martedì: 06:30 to 20 | mercoledì: 06:30 to 20
Bar Crazy Sas di Batir,+39 391 464 6398,"Corso Casale, 333, 14100 Asti AT, Italia",44.9158552,8.2226373,4.3,46,giovedì: 05:55 to 21:30 | venerdì: 05:55 to 21:30 | sabato: 05:55 to 21:30 | domenica: 08 to 20:30 | lunedì: 05:55 to 21:30 | martedì: 05:55 to 21:30 | mercoledì: 05:55 to 21:30
OROCASH,+39 0141 219617,"Corso Torino, 247, 14100 Asti AT, Italia",44.9045692,8.1878999,4.7,70,"giovedì: 09 to 13, 15 to 19 | venerdì: 09 to 13, 15 to 19 | sabato: 09 to 13, 15 to 19 | domenica: Chiuso | lunedì: 09 to 13, 15 to 19 | martedì: 09 to 13, 15 to 19 | mercoledì: 09 to 13, 15 to 19"
Tutti Frutti Abbigliamento,+39 0141 451205,"Corso Vittorio Alfieri, 233, 14100 Asti AT, Italia",44.9003906,8.2054836,4.7,13,"giovedì: 09:30 to 12:30, 15:30 to 19:30 | venerdì: 09:30 to 12:30, 15:30 to 19:30 | sabato: 09:30 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: 15:30 to 19:30 | martedì: 09:30 to 12:30, 15:30 to 19:30 | mercoledì: 09:30 to 12:30, 15:30 to 19:30"
Invidia dal 1973 - C.C. Il Borgo,+39 0141 176 8575,"Corso Casale, 319, 14100 Asti AT, Italia",44.9151174,8.2254937,4.7,9,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 20 | domenica: 09 to 20 | lunedì: 09 to 20 | martedì: 09 to 20 | mercoledì: 09 to 20
Würth Store & MODYF Asti,+39 0471 828137,"Corso Alessandria, 201, 14100 Asti AT, Italia",44.9052867,8.2232162,5,1,"giovedì: 08 to 12:30, 14:30 to 18 | venerdì: 08 to 12:30, 14:30 to 18 | sabato: Chiuso | domenica: Chiuso | lunedì: 08 to 12:30, 14:30 to 18 | martedì: 08 to 12:30, 14:30 to 18 | mercoledì: 08 to 12:30, 14:30 to 18"
PrimaEdicola Point,,"Corso Vittorio Alfieri, 150, 14100 Asti AT, Italia",44.901598,8.208918,,,"giovedì: 07 to 13, 14 to 19:30 | venerdì: 07 to 13, 14 to 19:30 | sabato: 07 to 13, 14 to 19:30 | domenica: Chiuso | lunedì: 07 to 13, 14 to 19:30 | martedì: 07 to 13, 14 to 19:30 | mercoledì: 07 to 13, 14 to 19:30"
Bar Orchidea Rosa,+39 353 335 6747,"Corso Torino, 294/296, 14100 Asti AT, Italia",44.9056042,8.1838397,4.8,19,giovedì: 04 to 23:30 | venerdì: 04 to 23:30 | sabato: 04 to 23:30 | domenica: 04 to 23:30 | lunedì: 04 to 23:30 | martedì: 04 to 23:30 | mercoledì: 04 to 18
Vogh Cafè,+39 328 908 4545,"Piazza Statuto, 32, 14100 Asti AT, Italia",44.8981285,8.2044144,3.9,44,giovedì: 07:30 to 00 | venerdì: 07:30 to 00 | sabato: 07:30 to 00 | domenica: 10 to 00 | lunedì: Chiuso | martedì: 07:30 to 00 | mercoledì: 07:30 to 00
Elise-shop,+39 353 331 0065,"Corso Pietro Chiesa, 49, 14100 Asti AT, Italia",44.8976696,8.2162424,,,giovedì: 05:30 to 22 | venerdì: 05:30 to 22 | sabato: 05:30 to 22 | domenica: Aperto 24 ore su 24 | lunedì: Aperto 24 ore su 24 | martedì: 05:30 to 22 | mercoledì: 05:30 to 22
Areadesign 2,+39 329 597 0610,"Via Alfredo Catalani, 56, 14100 Asti AT, Italia",44.9065509,8.1924297,4.4,31,"giovedì: 09 to 12:30, 15 to 19:30 | venerdì: 09 to 12:30, 15 to 19:30 | sabato: 09 to 12:30, 15 to 19:30 | domenica: Chiuso | lunedì: 14 to 19:30 | martedì: 09 to 12:30, 15 to 19:30 | mercoledì: 09 to 12:30, 15 to 19:30"
PrimaEdicola Point,,"Via Conte Verde, 100, 14100 Asti AT, Italia",44.909212,8.197326,5,1,"giovedì: 06 to 13, 16 to 19 | venerdì: 06 to 13, 16 to 19 | sabato: 06 to 13, 16 to 19 | domenica: 06 to 13, 13:30 to 14 | lunedì: 06 to 13, 16 to 19 | martedì: 06 to 13, 16 to 19 | mercoledì: 06 to 13, 16 to 19"
Consorzio Agrario delle province del Nord Ovest,+39 0141 476905,"Frazione Castiglione, 9/A, 14100 Asti AT, Italia",44.9072853,8.2433002,4.3,132,"giovedì: 08 to 12:30, 14:30 to 18:30 | venerdì: 08 to 12:30, 14:30 to 18:30 | sabato: 08 to 12:30 | domenica: Chiuso | lunedì: 08 to 12:30, 14:30 to 18:30 | martedì: 08 to 12:30, 14:30 to 18:30 | mercoledì: 08 to 12:30, 14:30 to 18:30"
Anonimo shop,,"Corso Felice Cavallotti, 34, 14100 Asti AT, Italia",44.8985092,8.2125264,5,1,"giovedì: 09 to 12:30, 15:30 to 19 | venerdì: 09 to 12:30, 15:30 to 19 | sabato: 09:30 to 12:30, 16 to 19 | domenica: Chiuso | lunedì: 09 to 12:30, 15:30 to 19 | martedì: 09 to 12:30, 15:30 to 19 | mercoledì: 09 to 12:30, 15:30 to 19"
Makhymo s.r.l.,+39 0141 353902,"Str. Valmanera, 19, 14100 Asti AT, Italia",44.9063432,8.2126779,4.6,40,"giovedì: 08:30 to 12:30, 14:30 to 18:30 | venerdì: 08:30 to 12:30, 14:30 to 18:30 | sabato: Chiuso | domenica: Chiuso | lunedì: 08:30 to 12:30, 14:30 to 18:30 | martedì: 08:30 to 12:30, 14:30 to 18:30 | mercoledì: 08:30 to 12:30, 14:30 to 18:30"
[Crz]Cribob,,"14100 Asti AT, Italia",44.8956626,8.1899376,1,1,
Colorificio Ricci,+39 0141 231972,"Via Mario Cora, 6, 14100 Asti AT, Italia",44.9142306,8.2220459,4.8,21,"giovedì: 08 to 12, 14 to 18 | venerdì: 08 to 12, 14 to 18 | sabato: 08 to 12 | domenica: Chiuso | lunedì: 08 to 12, 14 to 18:30 | martedì: 08 to 12, 14 to 18 | mercoledì: 08 to 12, 14 to 18"
Caffe lo spuntino,+39 348 055 1555,"Corso Vittorio Alfieri, 174, 14100 Asti AT, Italia",44.9012168,8.2081352,4.5,104,giovedì: 07:30 to 18 | venerdì: 07:30 to 18 | sabato: 07:30 to 18 | domenica: Chiuso | lunedì: 07:30 to 18 | martedì: 07:30 to 18 | mercoledì: 07:30 to 18
Tabaccheria edicola Viarengo Fabio,+39 347 956 2627,"Corso Savona, 52, 14100 Asti AT, Italia",44.8938414,8.210227,4.6,38,giovedì: 06 to 19:30 | venerdì: 06 to 19:30 | sabato: 06 to 19:30 | domenica: 07 to 19 | lunedì: 06 to 19:30 | martedì: 06 to 19:30 | mercoledì: 06 to 19:30
Cerrato Progetto Casa Arredamenti Asti,+39 0141 532227,"Via Zara, 4/A, 14100 Asti AT, Italia",44.904749,8.2131446,4.7,24,"giovedì: Chiuso | venerdì: 09 to 12:30, 15 to 19:30 | sabato: 09 to 12:30, 15 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: Chiuso | mercoledì: 09 to 12:30, 15 to 19:30"
Il Pallino Del Caffè,+39 0141 180 8184,"Piazza Leonardo da Vinci, 16, 14100 Asti AT, Italia",44.8972112,8.2118176,4.6,24,giovedì: 07 to 20 | venerdì: 07 to 20 | sabato: 07 to 13 | domenica: 07 to 13 | lunedì: 07 to 20 | martedì: 07 to 20 | mercoledì: 07 to 20
Idea di Idroterm - Showroom,,"Via Perroncito, 12, 14100 Asti AT, Italia",44.9034599,8.2297687,4.7,35,"giovedì: 09 to 12:30, 14:30 to 19 | venerdì: 09 to 12:30, 14:30 to 19 | sabato: 09 to 12:30, 14:30 to 19 | domenica: Chiuso | lunedì: Chiuso | martedì: 09 to 12:30, 14:30 to 19 | mercoledì: 09 to 12:30, 14:30 to 19"
Ricami di Bugnano Silvia,+39 0141 592264,"Via Pietro Gobetti, 11, 14100 Asti AT, Italia",44.8997656,8.204244,5,9,"giovedì: 09:30 to 12:20, 16 to 19:20 | venerdì: 09:30 to 12:20, 16 to 19:20 | sabato: 09:30 to 12:20, 16 to 19:20 | domenica: Chiuso | lunedì: Chiuso | martedì: 09:30 to 12:20, 16 to 19:20 | mercoledì: 09:30 to 12:20, 16 to 19:20"
Smoker,+39 348 595 7836,"Corso Alessandria, 84, 14100 Asti AT, Italia",44.9041054,8.2175381,4.3,41,"giovedì: 09:30 to 12:30, 15:30 to 19 | venerdì: 09:30 to 12:30, 15:30 to 19 | sabato: 09:30 to 12:30, 15:30 to 19 | domenica: Chiuso | lunedì: 15:30 to 19 | martedì: 09:30 to 12:30, 15:30 to 19 | mercoledì: 09:30 to 12:30, 15:30 to 19"
PrimaEdicola Point,,"Corso Ivrea, 51, 14100 Asti AT, Italia",44.9078933,8.1839553,,,giovedì: 07 to 19:30 | venerdì: 07 to 19:30 | sabato: 07 to 19:30 | domenica: Chiuso | lunedì: 07 to 19:30 | martedì: 07 to 19:30 | mercoledì: 07 to 19:30
Favoglia Four Seasons,+39 352 022 7986,"Corso Savona, 170, 14100 Asti AT, Italia",44.8889524,8.2114141,5,5,giovedì: 08:30 to 21 | venerdì: 08:30 to 21 | sabato: 08:30 to 21 | domenica: 08:30 to 21 | lunedì: Chiuso | martedì: 08:30 to 21 | mercoledì: 08:30 to 21
Succoso NonLatteria #gustiveri,+39 351 748 6862,"Piazza S. Secondo, 6, 14100 Asti AT, Italia",44.899044,8.2049552,4.7,139,giovedì: 09 to 20 | venerdì: 09 to 20 | sabato: 09 to 00 | domenica: 09 to 20 | lunedì: Chiuso | martedì: 09 to 20 | mercoledì: 09 to 20
La Cantina,+39 334 362 8451,"Corso Vittorio Alfieri, 243, 14100 Asti AT, Italia",44.9003196,8.2052336,4.7,54,"giovedì: 09:30 to 12:30, 15:30 to 19:45 | venerdì: 09:30 to 12:30, 15:30 to 19:45 | sabato: 09:30 to 12:30, 15:30 to 19:45 | domenica: 10 to 13 | lunedì: 09:30 to 12:30, 15:30 to 19:45 | martedì: 09:30 to 12:30, 15:30 to 19:45 | mercoledì: 09:30 to 12:30, 15:30 to 19:45"
Laura Ink Tattoo Studio,+39 331 922 0332,"Via XX Settembre, 52, 14100 Asti AT, Italia",44.8969692,8.2034525,4.8,74,giovedì: 14 to 18 | venerdì: 14 to 18 | sabato: 10:30 to 12:30 | domenica: Chiuso | lunedì: 14 to 18 | martedì: 14 to 18 | mercoledì: 14 to 18
Bar La Torretta,+39 0141 210167,"Corso Torino, 58, 14100 Asti AT, Italia",44.9028288,8.1898478,4.5,277,giovedì: 06 to 20 | venerdì: 06 to 20 | sabato: 06 to 12 | domenica: Chiuso | lunedì: 06 to 20 | martedì: 06 to 20 | mercoledì: 06 to 20
Bar Atlantic,+39 0141 477531,"Corso Casale, 319, 14100 Asti AT, Italia",44.915517,8.2236448,3.8,104,giovedì: 07:30 to 20 | venerdì: 07:30 to 20 | sabato: 07:30 to 20 | domenica: 08 to 20 | lunedì: 07:30 to 20 | martedì: 07:30 to 20 | mercoledì: 07:30 to 20
Il Pellicano | Nuova Libreria Cattolica,+39 0141 531708,"Corso Vittorio Alfieri, 338, 14100 Asti AT, Italia",44.8993611,8.2010003,4.8,46,"giovedì: 09 to 12:30, 15:30 to 19 | venerdì: 09 to 12:30, 15:30 to 19 | sabato: 09 to 12:30, 15:30 to 19 | domenica: Chiuso | lunedì: Chiuso | martedì: 09 to 12:30, 15:30 to 19 | mercoledì: 09 to 12:30, 15:30 to 19"
Il Garage dello Svapo,+39 331 350 7318,"Via XX Settembre, 69, 14100 Asti AT, Italia",44.8970409,8.2033682,4.9,65,"giovedì: 10 to 14, 16 to 19 | venerdì: 10 to 14, 16 to 19 | sabato: 10 to 19 | domenica: Chiuso | lunedì: 10 to 14, 16 to 19 | martedì: 10 to 14, 16 to 19 | mercoledì: 10 to 14, 16 to 19"
Caffè Boasi,,"Corso Alessandria, 14100 Asti AT, Italia",44.9055412,8.2319171,4.4,20,giovedì: 04:30 to 19 | venerdì: 04:30 to 19 | sabato: Chiuso | domenica: Chiuso | lunedì: 04:30 to 19 | martedì: 04:30 to 19 | mercoledì: 04:30 to 19
Bar San secondo,+39 0141 240108,"Piazza Statuto, 11, 14100 Asti AT, Italia",44.8986376,8.2041069,4.3,114,giovedì: 07 to 21:30 | venerdì: 07 to 23 | sabato: 07 to 23 | domenica: 08 to 22 | lunedì: Chiuso | martedì: 07 to 21:30 | mercoledì: 07 to 21:30
PrimaEdicola Point,,"Via Francesco Petrarca, 69, 14100 Asti AT, Italia",44.911318,8.201904,,,giovedì: 08 to 19 | venerdì: 08 to 19 | sabato: 08 to 19 | domenica: Chiuso | lunedì: 08 to 19 | martedì: 08 to 19 | mercoledì: 08 to 19
Welcome Travel Shop,+39 0141 355524,"ang. via Nino Costa 6, Via Angelo Brofferio, 19, 14100 Asti AT, Italia",44.8980278,8.2062949,4.9,38,"giovedì: 09 to 12:30, 14:30 to 19 | venerdì: 09 to 12:30, 14:30 to 19 | sabato: 09 to 19 | domenica: Chiuso | lunedì: 09 to 12:30, 14:30 to 19 | martedì: 09 to 12:30, 14:30 to 19 | mercoledì: 09 to 12:30, 14:30 to 19"
Demartini Mobili,+39 0141 476776,"Viale Pilone, 90, 14100 Asti AT, Italia",44.904201,8.2215115,4.9,75,"giovedì: 07:30 to 12, 14:30 to 19 | venerdì: 07:30 to 12, 14:30 to 19 | sabato: 07:30 to 12, 14:30 to 19 | domenica: Chiuso | lunedì: Chiuso | martedì: 07:30 to 12, 14:30 to 19 | mercoledì: 07:30 to 12, 14:30 to 19"
Bar Biffi,+39 0141 352612,"Corso Venezia, 39, 14100 Asti AT, Italia",44.8921963,8.2086147,4.5,393,giovedì: 05 to 20 | venerdì: 05 to 20 | sabato: 05 to 15 | domenica: Chiuso | lunedì: 05 to 20 | martedì: 05 to 20:30 | mercoledì: 05 to 20
Michieletti Gioielli,,"Via C. Benso di Cavour, 35, 14100 Asti AT, Italia",44.8981075,8.2047143,,,"giovedì: 10 to 13, 16 to 19:30 | venerdì: 10 to 13, 16 to 19:30 | sabato: 10 to 13, 16 to 19:30 | domenica: 10 to 13, 16 to 19:30 | lunedì: 10 to 13, 16 to 19:30 | martedì: 10 to 13, 16 to 19:30 | mercoledì: 10 to 13, 16 to 19:30"
Bar Mixi,+39 0141 382363,"Largo Martiri della Liberazione, 12, 14100 Asti AT, Italia",44.9028402,8.204497,4.3,90,giovedì: 07 to 18:30 | venerdì: 07 to 18:30 | sabato: Chiuso | domenica: Chiuso | lunedì: 07 to 18:30 | martedì: 07 to 18:30 | mercoledì: 07 to 18:30
Colorificio Area Colore srl,+39 0141 216201,"Corso Ivrea, 124, 14100 Asti AT, Italia",44.9140472,8.1781473,4.6,30,"giovedì: 08 to 12:30, 14:30 to 19 | venerdì: 08 to 12:30, 14:30 to 19 | sabato: 08 to 12 | domenica: Chiuso | lunedì: 08 to 12:30, 14:30 to 19 | martedì: 08 to 12:30, 14:30 to 19 | mercoledì: 08 to 12:30, 14:30 to 19"
Bar Emiliano,,"Viale Giuseppe Grassi, 59, 14100 Lecce LE, Italia",44.8951761,8.1991068,5,1,
myGOM - MAURO GOMME,+39 0141 272588,"Corso Alessandria, 495, 14100 Asti AT, Italia",44.9059711,8.2431478,4.6,117,"giovedì: 08:30 to 12:15, 14:30 to 19:15 | venerdì: 08:30 to 12:15, 14:30 to 19:15 | sabato: 08:30 to 12:30 | domenica: Chiuso | lunedì: 08:30 to 12:15, 14:30 to 19:15 | martedì: 08:30 to 12:15, 14:30 to 19:15 | mercoledì: 08:30 to 12:15, 14:30 to 19:15"
Ponchione Caffè,+39 0141 592469,"Corso Vittorio Alfieri, 151, 14100 Asti AT, Italia",44.9015051,8.2083536,4.7,160,"giovedì: 08 to 12:30, 14:30 to 18:30 | venerdì: 08 to 12:30, 14:30 to 18:30 | sabato: 08:30 to 12:30, 15 to 18:30 | domenica: Chiuso | lunedì: 08 to 12:30, 14:30 to 18:30 | martedì: 08 to 12:30, 14:30 to 18:30 | mercoledì: 08 to 12:30, 14:30 to 18:30"
I Gommisti Livio&Marco,+39 335 838 4939,"Corso Venezia, 82, 14100 Asti AT, Italia",44.8915744,8.2053284,4.7,103,"giovedì: 08:30 to 12:30, 14:30 to 19 | venerdì: 08:30 to 12:30, 14:30 to 19 | sabato: 08:30 to 12:30 | domenica: Chiuso | lunedì: 08:30 to 12:30, 14:30 to 19 | martedì: 08:30 to 12:30, 14:30 to 19 | mercoledì: 08:30 to 12:30, 14:30 to 19"
"Evocar S.r.l. Centro Servizi Auto - Meccanico, Elettrauto, Gommista in Asti",+39 0141 273298,"Corso Casale, 130/A, 14100 Asti AT, Italia",44.9208586,8.2247345,4.6,138,"giovedì: 08 to 12, 14:30 to 18:30 | venerdì: 08 to 12, 14:30 to 18:30 | sabato: Chiuso | domenica: Chiuso | lunedì: 08 to 12, 14:30 to 18:30 | martedì: 08 to 12, 14:30 to 18:30 | mercoledì: 08 to 12, 14:30 to 18:30"
Servello - Materiale elettrico e illuminazione,+39 0141 436906,"Via Alessandro Artom, 22, 14100 Asti AT, Italia",44.896269,8.210049,4.6,44,"giovedì: 08 to 12, 14 to 18 | venerdì: 08 to 12, 14 to 18 | sabato: Chiuso | domenica: Chiuso | lunedì: 08 to 12, 14 to 18 | martedì: 08 to 12, 14 to 18 | mercoledì: 08 to 12, 14 to 18"
Z Barber Shop,+39 389 423 5077,"Corso Giacomo Matteotti, 62, 14100 Asti AT, Italia",44.8954601,8.2047002,,,giovedì: 09 to 21 | venerdì: 09 to 21 | sabato: 09 to 21 | domenica: 09 to 21 | lunedì: 09 to 21 | martedì: 09 to 21 | mercoledì: 09 to 21
Pasticceria Al dolce ci penso io,+39 334 371 5253,"Via Conte Verde, 94, 14100 Asti AT, Italia",44.9091709,8.1972711,4.5,36,giovedì: 09 to 19 | venerdì: 09 to 19 | sabato: 09 to 19 | domenica: 09 to 12:30 | lunedì: Chiuso | martedì: 09 to 19 | mercoledì: 09 to 19
Bar crazy di Lin ronghao,+39 388 873 3245,"Corso Casale, 333, 14100 Asti AT, Italia",44.9158552,8.2226373,,,giovedì: 06 to 22:30 | venerdì: 06 to 22:30 | sabato: 06 to 22:30 | domenica: 06:30 to 22:30 | lunedì: 06 to 22:30 | martedì: 06 to 22:30 | mercoledì: 06 to 22:30
Cafelait Bistrot,+39 389 791 6021,"Via Roero, 8, 14100 Asti AT, Italia",44.899131,8.1996125,4.5,273,giovedì: 07:30 to 16 | venerdì: 07:30 to 16 | sabato: Chiuso | domenica: Chiuso | lunedì: 07:30 to 16 | martedì: 07:30 to 16 | mercoledì: 07:30 to 16
Sesto Senso Arredamenti,+39 0141 210920,"Corso Don Giovanni Minzoni, 184, 14100 Asti AT, Italia",44.8998797,8.192996,4.7,37,"giovedì: 09 to 12:30, 15:30 to 19 | venerdì: 09 to 12:30, 15:30 to 19 | sabato: 09 to 12:30, 15:30 to 19 | domenica: Chiuso | lunedì: Chiuso | martedì: 09 to 12:30, 15:30 to 19 | mercoledì: 09 to 12:30, 15:30 to 19"
Bimbostore,+39 0141 092194,"Corso Casale, 321, 14100 Asti AT, Italia",44.9159378,8.2269757,,,"giovedì: 09 to 13, 15 to 19:30 | venerdì: 09 to 13, 15 to 19:30 | sabato: 09 to 19:30 | domenica: 09 to 13, 15 to 19:30 | lunedì: 09 to 13, 15 to 19:30 | martedì: 09 to 13, 15 to 19:30 | mercoledì: 09 to 13, 15 to 19:30"
Dima,+39 0141 217200,"/261, Corso Torino, 259, 14100 Asti AT, Italia",44.9048269,8.1875517,4.9,27,"giovedì: 08:30 to 12:30, 15 to 19 | venerdì: 08:30 to 12:30, 15 to 19 | sabato: 08:30 to 12:30 | domenica: Chiuso | lunedì: 08:30 to 12:30, 15 to 19 | martedì: 08:30 to 12:30, 15 to 19 | mercoledì: 08:30 to 12:30, 15 to 19"
Il Cortiletto,+39 0141 592133,"Corso Vittorio Alfieri, 281, 14100 Asti AT, Italia",44.9000621,8.2040548,,,"giovedì: 09 to 12:15, 15 to 19 | venerdì: 09 to 12:15, 15 to 19 | sabato: 09 to 12:15, 15 to 19 | domenica: Chiuso | lunedì: 15 to 19 | martedì: 09 to 12:15, 15 to 19 | mercoledì: 09 to 12:15, 15 to 19"
CEIT srl,+39 0141 476910,"Via Cristoforo Colombo, 24, 14100 Asti AT, Italia",44.9163912,8.2314659,5,1,"giovedì: 08 to 12, 14 to 18 | venerdì: 08 to 12, 14 to 18 | sabato: Chiuso | domenica: Chiuso | lunedì: 08 to 12, 14 to 18 | martedì: 08 to 12, 14 to 18 | mercoledì: 08 to 12, 14 to 18"
Domotica 3000 | Distributore V-TAC,+39 0141 351914,"Via Camilla Scarampi, 16, 14100 Asti AT, Italia",44.8971275,8.1994274,4.7,29,"giovedì: 09 to 12:30, 15 to 19 | venerdì: 09 to 12:30, 15 to 19 | sabato: 09 to 12 | domenica: Chiuso | lunedì: 09 to 12:30, 15 to 19 | martedì: 09 to 12:30, 15 to 19 | mercoledì: 09 to 12:30, 15 to 19"
